p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.artifact.repository.source/1.4.800.v20221205-1614, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.artifact.repository/1.4.800.v20221205-1614, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.console.source/1.2.100.v20221111-1340, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.console/1.2.100.v20221111-1340, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.core.source/2.9.200.v20220817-1208, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.core/2.9.200.v20220817-1208, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.director.app.source/1.2.300.v20220911-2007, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.director.app/1.2.300.v20220911-2007, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.director.source/2.5.400.v20220817-1208, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.director/2.5.400.v20220817-1208, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.directorywatcher.source/1.3.100.v20221111-1340, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.directorywatcher/1.3.100.v20221111-1340, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.discovery.compatibility/1.2.200.v20220210-1157, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.discovery/1.2.100.v20221111-1340, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.engine.source/2.7.500.v20220817-1208, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.engine/2.7.500.v20220817-1208, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.extensionlocation.source/1.4.100.v20220213-0541, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.extensionlocation/1.4.100.v20220213-0541, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.garbagecollector.source/1.2.100.v20221111-1340, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.garbagecollector/1.2.100.v20221111-1340, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.jarprocessor.source/1.2.400.v20221201-0952, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.jarprocessor/1.2.400.v20221201-0952, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.metadata.repository.source/1.4.100.v20220329-1456, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.metadata.repository/1.4.100.v20220329-1456, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.metadata.source/2.6.300.v20220817-1208, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.metadata/2.6.300.v20220817-1208, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.operations.source/2.6.100.v20220817-1208, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.operations/2.6.100.v20220817-1208, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.publisher.eclipse.source/1.4.300.v20221214-0640, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.publisher.eclipse/1.4.300.v20221214-0640, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.publisher.source/1.7.300.v20221203-1819, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.publisher/1.7.300.v20221203-1819, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.reconciler.dropins.source/1.4.200.v20220911-2007, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.reconciler.dropins/1.4.200.v20220911-2007, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.repository.source/2.6.300.v20221030-1923, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.repository.tools.source/2.3.300.v20221203-1932, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.repository.tools/2.3.300.v20221203-1932, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.repository/2.6.300.v20221030-1923, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.touchpoint.eclipse.source/2.3.300.v20220817-1208, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.touchpoint.eclipse/2.3.300.v20220817-1208, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.touchpoint.natives.source/1.4.400.v20220506-1821, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.touchpoint.natives/1.4.400.v20220506-1821, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.transport.ecf.source/1.3.300.v20220512-1321, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.transport.ecf/1.3.300.v20220512-1321, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.ui.discovery/1.2.300.v20210813-0655, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.ui.importexport.source/1.3.300.v20220329-1456, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.ui.importexport/1.3.300.v20220329-1456, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.ui.sdk.scheduler.source/1.5.400.v20220805-0804, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.ui.sdk.scheduler/1.5.400.v20220805-0804, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.ui.sdk.source/1.2.100.v20220814-1551, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.ui.sdk/1.2.100.v20220814-1551, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.ui.source/2.7.800.v20230113-1239, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.ui/2.7.800.v20230113-1239, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.updatechecker.source/1.3.100.v20221111-1340, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.updatechecker/1.3.100.v20221111-1340, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.updatesite.source/1.2.300.v20220420-1427, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.p2.updatesite/1.2.300.v20220420-1427, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.preferences.source/3.10.200.v20230120-0604, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.preferences/3.10.200.v20230120-0604, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.registry.source/3.11.200.v20220817-1601, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.registry/3.11.200.v20220817-1601, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.security.linux.source/1.0.300.v20220904-1118, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.security.linux/1.0.300.v20220904-1118, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.security.macosx.source/1.101.400.v20210427-1958, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.security.macosx/1.101.400.v20210427-1958, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.security.source/1.3.1000.v20220801-1135, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.security.ui.source/1.3.400.v20221007-1815, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.security.ui/1.3.400.v20221007-1815, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.security.win32.x86_64.source/1.1.300.v20211021-1418, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.security.win32.x86_64/1.1.300.v20211021-1418, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.security/1.3.1000.v20220801-1135, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.simpleconfigurator.manipulator.source/2.2.100.v20221117-1044, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.simpleconfigurator.manipulator/2.2.100.v20221117-1044, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.simpleconfigurator.source/1.4.200.v20221111-1340, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.equinox.simpleconfigurator/1.4.200.v20221111-1340, EPL-2.0, approved, eclipse.equinox
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.chi.codegen.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.chi.codegen/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.chi.documentation.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.chi.documentation.utils.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.chi.documentation.utils/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.chi.documentation/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.chi.metamodel.java.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.chi.metamodel.java/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.chi.metamodel.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.chi.metamodel/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.chi.parser.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.chi.parser/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.chi.runtime.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.chi.runtime/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.chi.simulator.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.chi.simulator.ui.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.chi.simulator.ui/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.chi.simulator/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.chi.tests.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.chi.tests/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.chi.texteditor.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.chi.texteditor/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.chi.tooldefs.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.chi.tooldefs/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.chi.typecheck.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.chi.typecheck/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.bdd.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.bdd/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.checkers.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.checkers/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.cif2cif.app.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.cif2cif.app/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.cif2cif.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.cif2cif/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.cif2mcrl2.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.cif2mcrl2/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.cif2plc.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.cif2plc/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.cif2supremica.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.cif2supremica/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.cif2uppaal.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.cif2uppaal/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.cif2yed.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.cif2yed/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.codegen.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.codegen/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.common.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.common/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.controllercheck.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.controllercheck/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.datasynth.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.datasynth/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.documentation.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.documentation.utils.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.documentation.utils/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.documentation/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.eventbased.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.eventbased/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.eventdisabler.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.eventdisabler/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.examples.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.examples/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.explorer.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.explorer/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.io.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.io/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.merger.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.merger/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.metamodel.java.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.metamodel.java/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.metamodel.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.metamodel/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.multilevel.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.multilevel/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.parser.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.parser/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.plcgen.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.plcgen/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.prettyprinter.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.prettyprinter/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.simulator.debug.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.simulator.debug/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.simulator.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.simulator/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.tests.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.tests.utils.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.tests.utils/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.tests/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.texteditor.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.texteditor/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.tooldefs.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.tooldefs/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.typechecker.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.cif.typechecker/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.app.framework.appsview.ui.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.app.framework.appsview.ui/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.app.framework.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.app.framework/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.box.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.box/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.dsm.app.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.dsm.app/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.dsm.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.dsm/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.eclipse.ui.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.eclipse.ui/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.emf.ecore.codegen.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.emf.ecore.codegen/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.emf.ecore.validation.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.emf.ecore.validation/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.emf.ecore.xmi.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.emf.ecore.xmi/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.emf.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.emf/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.java.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.java/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.multivaluetrees.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.multivaluetrees/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.position.common.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.position.common/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.position.metamodel.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.position.metamodel/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.raildiagrams.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.raildiagrams/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.svg.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.svg/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.tests.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.tests/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.tooldefs.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.tooldefs/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.typechecker.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.common.typechecker/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.product.branding.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.product.branding/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.product.perspective.source/3.0.0.qualifier, MIT, approved, technology.escet
p2/orbit/p2.eclipse.plugin/org.eclipse.escet.product.perspective/3.0.0.qualifier, MIT, approved, technology.escet
