p2/orbit/p2.eclipse.feature/org.eclipse.emf.codegen.ecore/2.33.0.v20230211-1150, EPL-1.0, approved, modeling.emf
p2/orbit/p2.eclipse.feature/org.eclipse.emf.codegen.ui/2.25.0.v20230211-1150, EPL-1.0, approved, modeling.emf
p2/orbit/p2.eclipse.feature/org.eclipse.emf.codegen/2.24.0.v20230211-1150, EPL-1.0, approved, modeling.emf
p2/orbit/p2.eclipse.feature/org.eclipse.emf.common.source/2.29.0.v20230223-0922, EPL-1.0, approved, modeling.emf
p2/orbit/p2.eclipse.feature/org.eclipse.emf.common.ui/2.20.0.v20230211-1150, EPL-1.0, approved, modeling.emf
p2/orbit/p2.eclipse.feature/org.eclipse.emf.common/2.29.0.v20230223-0922, EPL-1.0, approved, modeling.emf
p2/orbit/p2.eclipse.feature/org.eclipse.emf.converter/2.19.0.v20230211-1150, EPL-1.0, approved, modeling.emf
p2/orbit/p2.eclipse.feature/org.eclipse.emf.databinding.edit.source/1.10.0.v20230211-1150, EPL-1.0, approved, modeling.emf
p2/orbit/p2.eclipse.feature/org.eclipse.emf.databinding.edit/1.10.0.v20230211-1150, EPL-1.0, approved, modeling.emf
p2/orbit/p2.eclipse.feature/org.eclipse.emf.databinding.source/1.10.0.v20230211-1150, EPL-1.0, approved, modeling.emf
p2/orbit/p2.eclipse.feature/org.eclipse.emf.databinding/1.10.0.v20230211-1150, EPL-1.0, approved, modeling.emf
p2/orbit/p2.eclipse.feature/org.eclipse.emf.ecore.edit/2.16.0.v20230211-1150, EPL-1.0, approved, modeling.emf
p2/orbit/p2.eclipse.feature/org.eclipse.emf.ecore.editor/2.19.0.v20230224-1122, EPL-1.0, approved, modeling.emf
p2/orbit/p2.eclipse.feature/org.eclipse.emf.ecore.source/2.31.0.v20230226-0921, EPL-1.0, approved, modeling.emf
p2/orbit/p2.eclipse.feature/org.eclipse.emf.ecore/2.31.0.v20230226-0921, EPL-1.0, approved, modeling.emf
p2/orbit/p2.eclipse.feature/org.eclipse.emf.edit.source/2.19.0.v20230211-1150, EPL-1.0, approved, modeling.emf
p2/orbit/p2.eclipse.feature/org.eclipse.emf.edit.ui/2.25.0.v20230211-1150, EPL-1.0, approved, modeling.emf
